,SVM,NN,,
A,39%,41%,,
B,40%,37%,,
C,31%,29%,,
D,45%,59%,,
E,43%,61%,,
Avg,40%,45%,,
,,,,
,Harmonic(Full),Harmonic(Cortex),Full,Cortex
E,78%,65%,~50%,61%
