subject, type, classifier, precision, precision std, recall, recall std, f1, f1 std ,
020511bn, unfiltered, SVM (rbf),0.238617575,0.033128592,0.274305556,0.02284674,0.232165496,0.029359525,0.255220022
020511bn, unfiltered, GNB,0.39041257,0.011713923,0.322916667,0.012719425,0.299014028,0.012396909,0.353471355
020511bn, unfiltered, NN,0.282443482,0.016229985,0.291666667,0.007908951,0.260331211,0.009303103,0.286980988
020511bn, unrolled, SVM (linear),0.409722222,0.018084491,0.541666667,0.012152778,0.451388889,0.015962577,0.466545012
020511bn, unrolled, SVM (rbf),0.226388889,0.034380787,0.354166667,0.030815972,0.253968254,0.036466207,0.276216108
020511bn, unrolled, GNB,0.390625,0.02210829,0.5,0.013888889,0.421527778,0.019609857,0.438596491
020511bn, unrolled, NN,0.206597222,0.017044633,0.3125,0.023871528,0.2375,0.017953318,0.248745819
020511bn, untimed, SVM (linear),0.424843097,0.006247257,0.388888889,0.008680556,0.390812693,0.008127128,0.406071686
020511bn, untimed, SVM (rbf),0.238356609,0.02666767,0.263888889,0.009259259,0.209329081,0.018140768,0.250473766
020511bn, untimed, GNB,0.317931726,0.012958212,0.288194444,0.006353684,0.262823385,0.00685045,0.302333612
020511bn, untimed, NN,0.370949768,0.007375297,0.350694444,0.007703993,0.337600516,0.006131636,0.36053784
020511bn, cortex, SVM (linear),0.418565115,0.007459858,0.381944444,0.009211034,0.380089069,0.007630977,0.399417143
020511bn, cortex, SVM (rbf),0.232506209,0.034715035,0.274305556,0.016480999,0.211844935,0.028196206,0.25168218
020511bn, cortex, GNB,0.349684469,0.038074324,0.350694444,0.020435475,0.296960453,0.029674344,0.350188728
020511bn, cortex, NN,0.37616605,0.010115999,0.371527778,0.008668499,0.347796461,0.007929502,0.373832527
090210ar1,1000, SVM (linear),0.312400042,0.006837657,0.333333333,0.005401235,0.310226807,0.005778718,0.322527382
090210ar1,1000, SVM (rbf),0.359342683,0.021887902,0.347222222,0.010416667,0.331802127,0.013468506,0.353178495
090210ar1,1000, GNB,0.270531552,0.004569187,0.246527778,0.002399209,0.219105108,0.002741148,0.257972494
090210ar1,1000, NN,0.271137094,0.002350189,0.295138889,0.002881462,0.262821101,0.002669239,0.28262933
090210ar1,2000, SVM (linear),0.416881614,0.006150471,0.416666667,0.005015432,0.401632395,0.004695174,0.416774112
090210ar1,2000, SVM (rbf),0.355190021,0.008383659,0.319444444,0.007908951,0.297960983,0.011847344,0.336370241
090210ar1,2000, GNB,0.238429106,0.008658762,0.253472222,0.004714024,0.229140566,0.005726184,0.245720643
090210ar1,2000, NN,0.369270544,0.017967,0.395833333,0.008439429,0.364856751,0.012818142,0.382090837
090210ar1,3000, SVM (linear),0.44560561,0.0091217,0.465277778,0.008053627,0.443960291,0.008452792,0.455229266
090210ar1,3000, SVM (rbf),0.320695046,0.01897636,0.329861111,0.012237172,0.31237506,0.014692617,0.325213505
090210ar1,3000, GNB,0.278275177,0.005504141,0.270833333,0.004388503,0.249644334,0.003859332,0.274503827
090210ar1,3000, NN,0.298884102,0.005458565,0.350694444,0.004231771,0.309716244,0.004871216,0.322723078
090210ar1, shuffle, SVM (linear),0.448036966,0.001766558,0.45625,0.001418306,0.44482138,0.001555122,0.452106186
090210ar1, shuffle, SVM (rbf),0.400325812,0.000841806,0.379861111,0.000463445,0.377457836,0.000400686,0.389825062
090210ar1, shuffle, GNB,0.326582628,0.00228057,0.326388889,0.001417824,0.314239188,0.001668625,0.32648573
090210ar1, shuffle, NN,0.381032292,0.006531125,0.379861111,0.003395544,0.368322573,0.004191969,0.3804458
090210ar1, evenEpoch, SVM (linear),0.332886068,9.53E-08,0.34375,1.21E-05,0.33477414,5.76E-07,0.33823082
090210ar1, evenEpoch, SVM (rbf),0.249767836,0.000177011,0.260416667,0.000301408,0.249936643,0.000252702,0.254981117
090210ar1, evenEpoch, GNB,0.273977146,4.33E-06,0.263888889,0,0.260120612,2.73E-05,0.268838409
090210ar1, evenEpoch, NN,0.310656486,0.000134136,0.354166667,0.001205633,0.319152356,0.00062374,0.330987787
090210ar1, unfiltered, SVM (linear),0.392286706,0.004872166,0.388888889,0.004050926,0.372549962,0.004259732,0.390580408
090210ar1, unfiltered, SVM (rbf),0.249092494,0.019646942,0.215277778,0.007282022,0.189664308,0.00828674,0.230953969
090210ar1, unfiltered, GNB,0.268856433,0.013335019,0.239583333,0.01040461,0.229199207,0.009861026,0.253377193
090210ar1, unfiltered, NN,0.35621167,0.003900005,0.347222222,0.000964506,0.324917049,0.001687496,0.351659506
090210ar1, unrolled, SVM (linear),0.338541667,0.017550998,0.458333333,0.019097222,0.376388889,0.017606096,0.389433551
090210ar1, unrolled, SVM (rbf),0.213541667,0.02020339,0.3125,0.023871528,0.239980159,0.021817199,0.253712871
090210ar1, unrolled, GNB,0.242013889,0.029883174,0.333333333,0.034722222,0.265277778,0.030453318,0.280426474
090210ar1, unrolled, NN,0.201388889,0.02271412,0.291666667,0.026041667,0.229166667,0.022907022,0.238262911
090210ar1, cortex, SVM (linear),0.305266955,0.010411376,0.3125,0.007282022,0.294528694,0.007389933,0.308841134
090210ar1, cortex, SVM (rbf),0.266251172,0.023032805,0.25,0.007716049,0.209067394,0.010963887,0.257869799
090210ar1, cortex, GNB,0.234995805,0.009738488,0.253472222,0.009343654,0.217298777,0.006412253,0.243884576
090210ar1, cortex, NN,0.304496545,0.020068285,0.274305556,0.006064333,0.261462687,0.00655478,0.288613652
091912af,1000, SVM (linear),0.461583594,0.022105877,0.469907407,0.020892275,0.448268373,0.019910258,0.46570831
091912af,1000, SVM (rbf),0.38192552,0.023304883,0.391203704,0.014205033,0.362575671,0.016886731,0.386508939
091912af,1000, GNB,0.36323366,0.015401231,0.331018519,0.011890218,0.310237509,0.013197896,0.346378655
091912af,1000, NN,0.341545838,0.032686206,0.393518519,0.019911694,0.340098251,0.025630989,0.365694816
091912af,2000, SVM (linear),0.409565666,0.017676472,0.44212963,0.015748242,0.414075829,0.016155977,0.425225118
091912af,2000, SVM (rbf),0.334574132,0.013080963,0.368055556,0.009403935,0.319425508,0.00998602,0.350517122
091912af,2000, GNB,0.332935899,0.010307902,0.365740741,0.011038237,0.324283078,0.009960143,0.34856818
091912af,2000, NN,0.394079686,0.032848754,0.405092593,0.026550712,0.376713628,0.030882532,0.399510258
091912af,3000, SVM (linear),0.418404281,0.009874025,0.416666667,0.010030864,0.401202343,0.009418303,0.417533666
091912af,3000, SVM (rbf),0.284191798,0.017801459,0.319444444,0.008809156,0.25890669,0.013040702,0.300788736
091912af,3000, GNB,0.345335278,0.016235211,0.358796296,0.011247214,0.318742344,0.010856645,0.351937119
091912af,3000, NN,0.408150858,0.038418911,0.395833333,0.029722865,0.368882695,0.032034411,0.40189774
091912af, shuffle, SVM (linear),0.501995099,0.000578489,0.498148148,0.000639575,0.495321486,0.00057771,0.500064225
091912af, shuffle, SVM (rbf),0.551963768,0.001807464,0.462037037,0.000946502,0.463084722,0.000781141,0.503012823
091912af, shuffle, GNB,0.413981835,0.000865935,0.393981481,0.001223637,0.389723521,0.000992944,0.403734113
091912af, shuffle, NN,0.559784227,0.005510927,0.559722222,0.003602752,0.55107373,0.004354601,0.559753223
091912af, evenEpoch, SVM (linear),0.330540919,0.000171757,0.333333333,0.000342936,0.322116017,0.000138295,0.331931253
091912af, evenEpoch, SVM (rbf),0.363893604,0.013013455,0.282407407,0.001371742,0.242320153,0.002399239,0.31801358
091912af, evenEpoch, GNB,0.270719443,9.29E-05,0.280092593,5.36E-06,0.270031237,4.69E-05,0.275326267
091912af, evenEpoch, NN,0.305574883,0.006331392,0.340277778,0.00390625,0.311469421,0.004406547,0.321994004
091912af, unfiltered, SVM (linear),0.379896184,0.009949588,0.37962963,0.007115912,0.365861075,0.007452854,0.37976286
091912af, unfiltered, SVM (rbf),0.271099271,0.016209344,0.238425926,0.010861411,0.225523772,0.010474293,0.253715008
091912af, unfiltered, GNB,0.324479167,0.016000082,0.328703704,0.00988083,0.295752974,0.009438699,0.326577774
091912af, unfiltered, NN,0.358257021,0.023106679,0.365740741,0.020426097,0.338447377,0.019658255,0.361960202
091912af, unrolled, SVM (linear),0.329861111,0.023473669,0.416666667,0.034722222,0.355092593,0.026067172,0.368217054
091912af, unrolled, SVM (rbf),0.142592593,0.018010974,0.25,0.020833333,0.168320106,0.019375311,0.181603774
091912af, unrolled, GNB,0.446759259,0.05757566,0.541666667,0.05150463,0.474074074,0.056987311,0.489656518
091912af, unrolled, NN,0.319444444,0.032310957,0.444444444,0.029320988,0.356018519,0.030665938,0.371717172
091912af, untimed, SVM (linear),0.402579481,0.010060246,0.395833333,0.008117927,0.382891784,0.007887821,0.399177906
091912af, untimed, SVM (rbf),0.245660898,0.005789506,0.233796296,0.002630959,0.211537377,0.001905008,0.239581797
091912af, untimed, GNB,0.294485526,0.010999395,0.3125,0.007989326,0.274438874,0.007682539,0.303225441
091912af, untimed, NN,0.413974317,0.0209331,0.398148148,0.01933299,0.372722771,0.017747318,0.405907027
091912af, cortex, SVM (linear),0.313384262,0.007960611,0.335648148,0.008803798,0.315763402,0.007835354,0.324134344
091912af, cortex, SVM (rbf),0.235753868,0.006437616,0.206018519,0.00288816,0.195266369,0.002917898,0.219885462
091912af, cortex, GNB,0.287007437,0.014592787,0.277777778,0.011574074,0.242422644,0.009503255,0.282317192
091912af, cortex, NN,0.266605347,0.018419456,0.298611111,0.014290766,0.26473771,0.014918296,0.281702055
101812rm,1000, SVM (linear),0.542556518,0.008011393,0.506944444,0.006060314,0.495339671,0.006462232,0.52414628
101812rm,1000, SVM (rbf),0.483928032,0.012473696,0.4375,0.006446116,0.421547283,0.006494283,0.45954433
101812rm,1000, GNB,0.319095511,0.01027669,0.347222222,0.006108539,0.298968923,0.00529417,0.332565222
101812rm,1000, NN,0.571635213,0.012356762,0.523148148,0.009495027,0.513963443,0.01219471,0.546317954
101812rm,2000, SVM (linear),0.543828163,0.009244182,0.516203704,0.008160794,0.510512475,0.007670347,0.529655986
101812rm,2000, SVM (rbf),0.335698002,0.019931574,0.331018519,0.006231782,0.30148947,0.012335584,0.333341838
101812rm,2000, GNB,0.317214277,0.013858578,0.347222222,0.008937757,0.301905292,0.008225404,0.331540625
101812rm,2000, NN,0.609251243,0.005405841,0.587962963,0.001907579,0.569579023,0.002420561,0.598417834
101812rm,3000, SVM (linear),0.542059754,0.004423203,0.50462963,0.005765604,0.491835737,0.005809568,0.522675432
101812rm,3000, SVM (rbf),0.22705463,0.025576328,0.266203704,0.007903592,0.20682798,0.017101741,0.245075569
101812rm,3000, GNB,0.331024236,0.013017497,0.356481481,0.0052512,0.312232866,0.005426151,0.343281538
101812rm,3000, NN,0.690462662,0.007291784,0.68287037,0.003659765,0.668756235,0.004848622,0.68664553
101812rm, shuffle, SVM (linear),0.517523676,0.001134108,0.509722222,0.001416538,0.509443653,0.001399777,0.513593325
101812rm, shuffle, SVM (rbf),0.496240358,0.003475107,0.371759259,0.001226209,0.356098206,0.001734925,0.4250738
101812rm, shuffle, GNB,0.42532109,0.001328746,0.392592593,0.000697874,0.384313119,0.000715815,0.408302032
101812rm, shuffle, NN,0.595684256,0.003531022,0.593518519,0.001962449,0.582658985,0.00276736,0.594599415
101812rm, evenEpoch, SVM (linear),0.362707648,0.003399468,0.340277778,0.001205633,0.33841024,0.001846262,0.351134882
101812rm, evenEpoch, SVM (rbf),0.242323421,7.35E-05,0.201388889,4.82E-05,0.16694536,4.13E-05,0.219967954
101812rm, evenEpoch, GNB,0.322224347,0.001405258,0.287037037,0.000535837,0.284995342,0.001211923,0.303614587
101812rm, evenEpoch, NN,0.410597319,0.003318246,0.490740741,0.00105024,0.435192465,0.001774032,0.447106011
101812rm, unfiltered, SVM (linear),0.504900154,0.008746092,0.486111111,0.006622942,0.471993049,0.007453631,0.495327517
101812rm, unfiltered, SVM (rbf),0.314675105,0.015149199,0.291666667,0.005336934,0.275874186,0.008030396,0.302734343
101812rm, unfiltered, GNB,0.348805842,0.010193075,0.340277778,0.004259902,0.308885458,0.004179833,0.344489038
101812rm, unfiltered, NN,0.609745193,0.00735998,0.576388889,0.005160108,0.567454394,0.005375534,0.59259802
